NCBITaxon:2100	Mycoplasma hyorhinis	affects		NCBITaxon:9822	Sus
NCBITaxon:29561	Mycoplasma meleagridis	affects		NCBITaxon:8782	Aves
NCBITaxon:2109	Mycoplasma synoviae	affects		NCBITaxon:8782	Aves
NCBITaxon:29176	Neospora caninum	affects		NCBITaxon:9608	Canidae
NCBITaxon:499826	Nicothoe astaci	affects		NCBITaxon:6657	Crustacea
NCBITaxon:69811	Leuciscus idus	affects		NCBITaxon:9963	Caprinae
NCBITaxon:11240	Phocine distemper virus	affects		NCBITaxon:9822	Sus
NCBITaxon:28295	Porcine epidemic diarrhea virus	affects		NCBITaxon:9822	Sus
NCBITaxon:10796	Porcine parvovirus	affects		NCBITaxon:9822	Sus
NCBITaxon:28344	Porcine reproductive and respiratory syndrome virus	affects		NCBITaxon:9822	Sus
NCBITaxon:11604	Puumala virus	affects		NCBITaxon:9975	Lagomorpha
NCBITaxon:11604	Puumala virus	transmitted_by		NCBITaxon:9989	Rodentia
NCBITaxon:1646	Renibacterium salmoninarum	infects		NCBITaxon:33208	Metazoa
NCBITaxon:42862	Rickettsia felis	affects		NCBITaxon:9681	Felidae
NCBITaxon:55047	Bassariscus astutus	affects		NCBITaxon:9989	Rodentia
NCBITaxon:37207	Rio Segundo virus	transmitted_by		NCBITaxon:9989	Rodentia
NCBITaxon:51649	Sacculina	affects		NCBITaxon:6657	Crustacea
NCBITaxon:216971	Schistosoma nasale	infects		NCBITaxon:33208	Metazoa
NCBITaxon:6189	Schistosoma spindale	affects		NCBITaxon:9845	Ruminantia
NCBITaxon:1133363	Schmallenberg virus	affects		NCBITaxon:9895	Bovidae
NCBITaxon:1133363	Schmallenberg virus	affects		NCBITaxon:9963	Caprinae
NCBITaxon:11191	Sendai virus	affects		NCBITaxon:9989	Rodentia
NCBITaxon:11191	Sendai virus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:528322	Serang virus	transmitted_by		NCBITaxon:9989	Rodentia
NCBITaxon:528322	Serang virus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:746543	Shimoni bat virus	affects		NCBITaxon:9397	Chiroptera
NCBITaxon:186540	Sudan ebolavirus	infects		NCBITaxon:33208	Metazoa
NCBITaxon:186540	Sudan ebolavirus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:69816	Symbion	affects		NCBITaxon:6657	Crustacea
NCBITaxon:399095	Thompsonia	affects		NCBITaxon:6657	Crustacea
NCBITaxon:59264	Toxascaris leonina	infects		NCBITaxon:33208	Metazoa
NCBITaxon:5811	Toxoplasma gondii	affects		NCBITaxon:9681	Felidae
NCBITaxon:5811	Toxoplasma gondii	transmitted_by		NCBITaxon:9989	Rodentia
NCBITaxon:11152	Turkey coronavirus	affects		NCBITaxon:8782	Aves
NCBITaxon:11152	Turkey coronavirus	caused_by		NCBITaxon:10239	Viruses
NCBITaxon:11036	Venezuelan equine encephalitis virus	affects		NCBITaxon:9788	Equidae
NCBITaxon:11741	Visna/maedi virus	affects		NCBITaxon:9963	Caprinae
NCBITaxon:11082	West Nile virus	affects		NCBITaxon:9788	Equidae
NCBITaxon:11082	West Nile virus	transmitted_by		NCBITaxon:50557	Insecta
NCBITaxon:11039	Western equine encephalomyelitis virus	affects		NCBITaxon:9788	Equidae
NCBITaxon:11039	Western equine encephalomyelitis virus	transmitted_by		NCBITaxon:50557	Insecta
